t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2015,940140,867.771,0.0695,0.8458,4162.189,0.0224,0.1542,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2016,940140,1161.371,0.1031,0.8447,5138.341,0.0264,0.1553,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2017,940140,1076.755,0.0996,0.8386,4511.149,0.0184,0.1614,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2018,940140,1191.468,0.0991,0.8432,8580.287,0.0449,0.15680000000000005,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2019,940140,976.435,0.0813,0.8495,7610.374,0.0281,0.15049999999999997,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2020,940140,582.066,0.0467,0.8616,6293.345,0.041,0.13839999999999997,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2010,940150,880.85,0.4646,0.7877,5807.867,0.0413,0.21230000000000004,940150,"Seats: of cane, osier, bamboo or similar materials"
2011,940150,899.909,0.4712,0.788,4058.243,0.0194,0.21199999999999997,940150,"Seats: of cane, osier, bamboo or similar materials"
2012,940150,1622.153,0.8297,0.801,4846.38,0.0168,0.19899999999999995,940150,"Seats: of cane, osier, bamboo or similar materials"
2013,940150,1630.594,0.8887,0.8037,5215.869,0.0198,0.19630000000000003,940150,"Seats: of cane, osier, bamboo or similar materials"
2014,940150,1714.626,1.097,0.7448,3083.564,0.004,0.2552,940150,"Seats: of cane, osier, bamboo or similar materials"
2015,940150,1819.578,1.1183,0.8036,3396.826,0.0159,0.19640000000000002,940150,"Seats: of cane, osier, bamboo or similar materials"
2016,940150,1526.068,1.0434,0.7999,1809.953,0.0038,0.20009999999999994,940150,"Seats: of cane, osier, bamboo or similar materials"
2017,940150,1569.097,1.0659,0.796,1990.417,0.0023,0.20399999999999996,940150,"Seats: of cane, osier, bamboo or similar materials"
2018,940150,2112.44,1.1917,0.8021,2215.68,0.0041,0.19789999999999996,940150,"Seats: of cane, osier, bamboo or similar materials"
2019,940150,1533.972,0.7885,0.8656,1938.847,0.0001,0.13439999999999996,940150,"Seats: of cane, osier, bamboo or similar materials"
2020,940150,1080.176,0.5585,0.857,1348.672,0.0023,0.14300000000000002,940150,"Seats: of cane, osier, bamboo or similar materials"
2010,940161,23744.472,0.2981,0.7777,38144.39,0.3276,0.22230000000000005,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2011,940161,24820.267,0.2801,0.788,51507.246,0.3938,0.21199999999999997,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2012,940161,22716.181,0.2722,0.7865,56345.416,0.2751,0.21350000000000002,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2013,940161,17844.085,0.2003,0.7901,53302.667,0.271,0.20989999999999998,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2014,940161,19846.836,0.2121,0.7947,93587.475,0.7041,0.20530000000000004,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2015,940161,20455.14,0.181,0.8438,57195.391,0.472,0.1562,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2016,940161,20357.435,0.1934,0.8368,43474.43,0.2865,0.1632,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2017,940161,24747.882,0.2264,0.8323,45063.135,0.278,0.16769999999999996,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2018,940161,23467.497,0.1991,0.8379,55196.789,0.344,0.16210000000000002,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2019,940161,20047.51,0.1796,0.8379,62390.037,0.2988,0.16210000000000002,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2020,940161,16131.019,0.1423,0.8658,46036.658,0.3521,0.13419999999999999,940161,"Seats: with wooden frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2010,940169,4372.371,0.2539,0.7591,8422.316,0.0645,0.2409,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2011,940169,5000.962,0.2946,0.7785,7891.016,0.0497,0.22150000000000003,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2012,940169,4667.313,0.3103,0.768,8402.342,0.0347,0.23199999999999998,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2013,940169,5864.041,0.3616,0.7745,10657.769,0.0483,0.22550000000000003,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2014,940169,6180.111,0.3732,0.78,15665.13,0.1013,0.21999999999999997,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2015,940169,6986.681,0.3454,0.828,8981.487,0.0633,0.17200000000000004,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2016,940169,7127.763,0.3977,0.836,6939.451,0.0386,0.16400000000000003,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2017,940169,7352.416,0.3979,0.8253,8158.388,0.0418,0.17469999999999997,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2018,940169,7609.309,0.4178,0.8257,10932.868,0.06,0.1743,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2019,940169,6292.275,0.362,0.837,10184.617,0.0408,0.16300000000000003,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2020,940169,4249.314,0.2594,0.8474,6977.407,0.0463,0.15259999999999996,940169,"Seats: with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2010,940171,5652.661,0.2244,0.7945,16960.576,0.1401,0.20550000000000002,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2011,940171,5076.876,0.1592,0.8149,19757.742,0.1433,0.18510000000000004,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2012,940171,4855.303,0.1177,0.8061,140934.769,0.6993,0.19389999999999996,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2013,940171,4636.698,0.1081,0.8046,131705.42,0.6805,0.19540000000000002,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2014,940171,4755.701,0.1202,0.8167,43956.007,0.3202,0.18330000000000002,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2015,940171,4661.725,0.1071,0.8657,19400.663,0.1516,0.13429999999999997,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2016,940171,3473.131,0.0982,0.8687,15880.71,0.0993,0.13129999999999997,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2017,940171,4930.0,0.1305,0.8636,17439.427,0.1012,0.13639999999999997,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2018,940171,5006.379,0.1177,0.8589,19926.87,0.1177,0.1411,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2019,940171,3796.806,0.0807,0.8593,25387.038,0.116,0.14070000000000005,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2020,940171,2619.944,0.0496,0.8848,44328.502,0.3388,0.11519999999999997,940171,"Seats: with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2010,940179,3167.204,0.1148,0.8168,19703.423,0.1644,0.18320000000000003,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2011,940179,4585.918,0.1432,0.8306,22781.024,0.1672,0.1694,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2012,940179,3291.487,0.1099,0.8278,28018.743,0.133,0.17220000000000002,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2013,940179,3426.56,0.1122,0.8242,27924.004,0.1385,0.17579999999999996,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2014,940179,3374.271,0.1115,0.8376,22112.806,0.1512,0.1624,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2015,940179,3500.854,0.0934,0.8788,22660.882,0.1792,0.12119999999999997,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2016,940179,3231.589,0.0995,0.8764,20961.712,0.1338,0.12360000000000004,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2017,940179,3223.479,0.0952,0.8699,21967.324,0.1301,0.1301,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2018,940179,3754.675,0.1035,0.8628,26495.433,0.1599,0.1372,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2019,940179,4138.486,0.1197,0.8731,27018.68,0.124,0.1269,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2020,940179,2435.208,0.0689,0.8856,17889.514,0.1318,0.11439999999999995,940179,"Seats: with metal frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)"
2010,940180,32858.398,1.9905,0.7094,16847.37,0.1391,0.29059999999999997,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2011,940180,32843.976,1.776,0.7394,19352.746,0.1401,0.26060000000000005,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2012,940180,29990.496,1.8934,0.7293,13614.441,0.0608,0.27070000000000005,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2013,940180,30793.227,1.76,0.731,19806.549,0.0961,0.269,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2014,940180,26106.072,1.5228,0.7393,20197.253,0.1364,0.26070000000000004,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2015,940180,23822.625,1.0906,0.799,22924.002,0.1815,0.20099999999999996,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2016,940180,27186.097,1.2337,0.7926,19437.952,0.1234,0.20740000000000003,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2017,940180,20804.403,0.9449,0.8371,22974.841,0.1366,0.16290000000000004,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2018,940180,20476.874,0.8772,0.8267,14206.535,0.081,0.1733,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2019,940180,19927.366,0.8208,0.832,19890.127,0.0888,0.16800000000000004,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2020,940180,16824.624,0.6899,0.8651,14643.567,0.1064,0.13490000000000002,940180,"Seats: n.e.s. in heading no. 9401, (excluding medical, surgical, dental, veterinary or barber furniture)"
2010,940190,404216.358,3.1343,0.7206,114086.308,1.0,0.2794,940190,Seat: parts
2011,940190,316299.015,2.0473,0.7552,128328.064,1.0,0.24480000000000002,940190,Seat: parts
2012,940190,222884.167,1.4984,0.7457,128868.041,0.6388,0.25429999999999997,940190,Seat: parts
2013,940190,173924.473,1.0931,0.7413,132668.183,0.6855,0.25870000000000004,940190,Seat: parts
2014,940190,128200.299,0.772,0.7794,131834.751,1.0,0.22060000000000002,940190,Seat: parts
2015,940190,84768.149,0.4128,0.8328,119490.109,1.0,0.16720000000000002,940190,Seat: parts
2016,940190,57704.955,0.3021,0.8288,148646.917,1.0,0.17120000000000002,940190,Seat: parts
2017,940190,51488.753,0.2668,0.8202,157874.915,1.0,0.17979999999999996,940190,Seat: parts
2018,940190,50843.709,0.2544,0.8328,150386.582,0.9548,0.16720000000000002,940190,Seat: parts
2019,940190,30997.783,0.1647,0.8364,149447.188,0.7291,0.16359999999999997,940190,Seat: parts
2020,940190,8547.041,0.0545,0.8502,97305.176,0.7535,0.14980000000000004,940190,Seat: parts
2010,940310,6775.505,0.4846,0.7548,4209.469,0.0272,0.24519999999999997,940310,"Furniture: metal, for office use"
2011,940310,7081.204,0.4509,0.7859,3601.365,0.0158,0.21409999999999996,940310,"Furniture: metal, for office use"
2012,940310,6375.892,0.4388,0.7641,13590.546,0.0607,0.2359,940310,"Furniture: metal, for office use"
2013,940310,5336.518,0.3589,0.7632,12592.506,0.0584,0.2368,940310,"Furniture: metal, for office use"
2014,940310,7499.62,0.5132,0.7766,5627.981,0.0237,0.22340000000000004,940310,"Furniture: metal, for office use"
2015,940310,6556.639,0.3665,0.8273,2991.729,0.0125,0.17269999999999996,940310,"Furniture: metal, for office use"
2016,940310,3712.443,0.2347,0.8178,3841.757,0.0176,0.18220000000000003,940310,"Furniture: metal, for office use"
2017,940310,3468.969,0.2081,0.8283,3898.765,0.0145,0.17169999999999996,940310,"Furniture: metal, for office use"
2018,940310,4313.286,0.236,0.8323,5045.13,0.0223,0.16769999999999996,940310,"Furniture: metal, for office use"
2019,940310,3480.99,0.1847,0.8502,4394.417,0.0122,0.14980000000000004,940310,"Furniture: metal, for office use"
2020,940310,2921.541,0.1708,0.8589,2831.31,0.0139,0.1411,940310,"Furniture: metal, for office use"
2010,940320,19638.456,0.3066,0.7778,49028.487,0.424,0.22219999999999995,940320,"Furniture: metal, other than for office use"
2011,940320,26826.431,0.3404,0.79,65739.538,0.5061,0.20999999999999996,940320,"Furniture: metal, other than for office use"
2012,940320,24335.04,0.2823,0.7877,200904.107,1.0,0.21230000000000004,940320,"Furniture: metal, other than for office use"
2013,940320,20502.72,0.231,0.7888,192881.276,1.0,0.21120000000000005,940320,"Furniture: metal, other than for office use"
2014,940320,26725.026,0.3141,0.8005,80091.633,0.5997,0.1995,940320,"Furniture: metal, other than for office use"
2015,940320,20665.719,0.1986,0.842,53607.808,0.4416,0.15800000000000003,940320,"Furniture: metal, other than for office use"
2016,940320,22341.986,0.242,0.8393,45439.049,0.2998,0.16069999999999995,940320,"Furniture: metal, other than for office use"
2017,940320,19226.268,0.2008,0.8309,47844.217,0.2958,0.16910000000000003,940320,"Furniture: metal, other than for office use"
2018,940320,19306.988,0.1797,0.8407,47357.748,0.2937,0.1593,940320,"Furniture: metal, other than for office use"
2019,940320,16455.922,0.1541,0.8494,46233.08,0.219,0.15059999999999996,940320,"Furniture: metal, other than for office use"
2020,940320,14671.183,0.1289,0.8779,64190.015,0.4943,0.12209999999999999,940320,"Furniture: metal, other than for office use"
2010,940330,21314.453,1.0857,0.7111,10211.214,0.0803,0.28890000000000005,940330,"Furniture: wooden, for office use"
2011,940330,18321.135,0.8066,0.7798,10492.991,0.0702,0.22019999999999995,940330,"Furniture: wooden, for office use"
2012,940330,17687.185,0.7917,0.779,10131.581,0.0433,0.22099999999999997,940330,"Furniture: wooden, for office use"
2013,940330,16710.706,0.7358,0.7747,12557.545,0.0582,0.22529999999999994,940330,"Furniture: wooden, for office use"
2014,940330,16598.415,0.7246,0.7778,20992.476,0.1425,0.22219999999999995,940330,"Furniture: wooden, for office use"
2015,940330,13435.383,0.4805,0.8346,23375.264,0.1853,0.1654,940330,"Furniture: wooden, for office use"
2016,940330,10026.326,0.4047,0.8286,6445.87,0.0353,0.1714,940330,"Furniture: wooden, for office use"
2017,940330,11385.674,0.4526,0.8288,19454.784,0.1141,0.17120000000000002,940330,"Furniture: wooden, for office use"
2018,940330,9919.142,0.3837,0.8154,23758.371,0.1423,0.1846,940330,"Furniture: wooden, for office use"
2019,940330,8430.399,0.3536,0.8302,20023.547,0.0894,0.16979999999999995,940330,"Furniture: wooden, for office use"
2020,940330,5941.736,0.2709,0.8431,10156.441,0.0712,0.15690000000000004,940330,"Furniture: wooden, for office use"
2010,940340,7793.499,0.2529,0.7774,8034.751,0.0611,0.22260000000000002,940340,"Furniture: wooden, for kitchen use"
2011,940340,8396.394,0.2411,0.7893,10467.966,0.07,0.2107,940340,"Furniture: wooden, for kitchen use"
2012,940340,8326.697,0.2576,0.7697,9725.675,0.0413,0.23029999999999995,940340,"Furniture: wooden, for kitchen use"
2013,940340,6768.484,0.1982,0.7775,11921.937,0.0549,0.22250000000000003,940340,"Furniture: wooden, for kitchen use"
2014,940340,6855.307,0.2028,0.7884,13395.379,0.0837,0.2116,940340,"Furniture: wooden, for kitchen use"
2015,940340,5835.688,0.1334,0.8451,18494.944,0.1439,0.15490000000000004,940340,"Furniture: wooden, for kitchen use"
2016,940340,5851.901,0.1439,0.8413,15435.824,0.0963,0.15869999999999995,940340,"Furniture: wooden, for kitchen use"
2017,940340,4663.13,0.1107,0.8423,23514.995,0.1401,0.15769999999999995,940340,"Furniture: wooden, for kitchen use"
2018,940340,6045.475,0.1268,0.8429,29287.223,0.1778,0.15710000000000002,940340,"Furniture: wooden, for kitchen use"
2019,940340,3879.695,0.089,0.8436,24200.612,0.1101,0.15639999999999998,940340,"Furniture: wooden, for kitchen use"
2020,940340,3045.65,0.0685,0.8511,14130.776,0.1023,0.14890000000000003,940340,"Furniture: wooden, for kitchen use"
2010,940350,31464.129,0.6217,0.754,32550.91,0.2781,0.246,940350,"Furniture: wooden, for bedroom use"
2011,940350,22711.901,0.4008,0.7625,35314.251,0.2661,0.23750000000000004,940350,"Furniture: wooden, for bedroom use"
2012,940350,19408.842,0.3567,0.7574,38649.625,0.1863,0.24260000000000004,940350,"Furniture: wooden, for bedroom use"
2013,940350,24342.747,0.4373,0.7604,35462.836,0.1778,0.23960000000000004,940350,"Furniture: wooden, for bedroom use"
2014,940350,19045.74,0.3182,0.7652,92368.307,0.6947,0.2348,940350,"Furniture: wooden, for bedroom use"
2015,940350,17483.137,0.2419,0.8246,108788.107,0.9093,0.1754,940350,"Furniture: wooden, for bedroom use"
2016,940350,15564.605,0.2567,0.8267,72943.707,0.4864,0.1733,940350,"Furniture: wooden, for bedroom use"
2017,940350,18416.226,0.2838,0.8206,108728.954,0.6855,0.1794,940350,"Furniture: wooden, for bedroom use"
2018,940350,17073.711,0.258,0.815,129252.493,0.8192,0.18500000000000005,940350,"Furniture: wooden, for bedroom use"
2019,940350,15482.094,0.2418,0.832,204266.741,1.0,0.16800000000000004,940350,"Furniture: wooden, for bedroom use"
2020,940350,15302.2,0.2414,0.8436,47063.44,0.3602,0.15639999999999998,940350,"Furniture: wooden, for bedroom use"
2010,940360,61722.219,0.429,0.7578,77206.957,0.6735,0.24219999999999997,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2011,940360,55440.381,0.3468,0.7701,89493.691,0.6936,0.2299,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2012,940360,46199.38,0.3222,0.7556,95421.533,0.471,0.24439999999999995,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2013,940360,43722.209,0.2953,0.7649,96427.997,0.4962,0.23509999999999998,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2014,940360,42650.104,0.289,0.7746,106857.488,0.8068,0.22540000000000004,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2015,940360,50557.933,0.2977,0.8256,91767.971,0.765,0.1744,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2016,940360,33722.905,0.2237,0.8194,69455.387,0.4627,0.18059999999999998,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2017,940360,38832.719,0.2537,0.8154,71400.362,0.4465,0.1846,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2018,940360,38659.182,0.2367,0.8116,157435.521,1.0,0.1884,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2019,940360,32459.126,0.2114,0.8255,128268.041,0.6244,0.1745,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2020,940360,27586.554,0.177,0.8431,128783.581,1.0,0.15690000000000004,940360,"Furniture: wooden, other than for office, kitchen or bedroom use"
2010,940370,10889.017,0.9578,0.7157,8334.484,0.0637,0.2843,940370,Furniture: plastic
2011,940370,9759.181,0.7428,0.7458,12262.558,0.0842,0.2542,940370,Furniture: plastic
2012,940370,11662.83,0.9378,0.7451,14497.149,0.0652,0.2549,940370,Furniture: plastic
2013,940370,9429.968,0.6934,0.746,13292.284,0.062,0.254,940370,Furniture: plastic
2014,940370,10680.003,0.7899,0.7586,13700.481,0.0861,0.24139999999999995,940370,Furniture: plastic
2015,940370,9230.235,0.5441,0.8089,11836.273,0.0875,0.19110000000000005,940370,Furniture: plastic
2016,940370,8951.234,0.5513,0.8028,11157.75,0.0672,0.19720000000000004,940370,Furniture: plastic
2017,940370,10506.642,0.6193,0.7969,10569.251,0.0572,0.20309999999999995,940370,Furniture: plastic
2018,940370,8032.784,0.4474,0.8052,18362.029,0.1077,0.19479999999999997,940370,Furniture: plastic
2019,940370,11438.987,0.6704,0.8108,18857.909,0.0837,0.18920000000000003,940370,Furniture: plastic
2020,940370,6099.186,0.3413,0.826,9214.062,0.0638,0.17400000000000004,940370,Furniture: plastic
2010,940380,6679.23,0.4719,0.7861,14681.327,0.1199,0.21389999999999998,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2011,940380,7813.915,0.4531,0.7797,19022.929,0.1375,0.22030000000000005,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2012,940380,7019.16,0.3439,0.8103,66687.567,0.3269,0.18969999999999998,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2013,940380,6123.287,0.2979,0.8018,23351.662,0.1146,0.19820000000000004,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2014,940380,8032.963,0.3682,0.8133,31881.448,0.2268,0.18669999999999998,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2015,940380,7768.995,0.2914,0.854,24562.312,0.1954,0.14600000000000002,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2016,940380,6289.373,0.3272,0.8432,17923.25,0.1131,0.15680000000000005,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2017,940380,7143.173,0.4018,0.832,19692.143,0.1156,0.16800000000000004,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2018,940380,7655.173,0.402,0.8408,19732.077,0.1165,0.1592,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2019,940380,6851.083,0.3445,0.8361,18731.062,0.0831,0.16390000000000005,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2020,940380,5899.927,0.2695,0.8613,15643.117,0.1142,0.13870000000000005,940380,"Furniture: materials n.e.s. in heading no. 9403, including cane, osier, bamboo or similar materials"
2010,940390,6431.384,0.0949,0.7708,18302.769,0.152,0.22919999999999996,940390,Furniture: parts
2011,940390,7654.782,0.0927,0.7887,50685.022,0.3873,0.21130000000000004,940390,Furniture: parts
2012,940390,6325.5,0.0823,0.7853,40781.365,0.197,0.2147,940390,Furniture: parts
2013,940390,7990.753,0.0969,0.783,71429.043,0.3657,0.21699999999999997,940390,Furniture: parts
2014,940390,10261.422,0.1366,0.7862,41652.659,0.3023,0.2138,940390,Furniture: parts
2015,940390,7993.287,0.0884,0.8352,26023.258,0.2077,0.16479999999999995,940390,Furniture: parts
2016,940390,7388.435,0.0887,0.8297,28806.361,0.187,0.1703,940390,Furniture: parts
2017,940390,7058.856,0.0815,0.8257,37844.711,0.2318,0.1743,940390,Furniture: parts
2018,940390,8978.622,0.0963,0.8322,26878.721,0.1623,0.16779999999999995,940390,Furniture: parts
2019,940390,6314.262,0.0679,0.8409,40929.927,0.1928,0.15910000000000002,940390,Furniture: parts
2020,940390,5117.165,0.0548,0.854,82229.868,0.6355,0.14600000000000002,940390,Furniture: parts
2010,940410,19323.598,4.0307,0.7211,1811.046,0.006,0.27890000000000004,940410,Mattress supports
2011,940410,23763.83,4.1417,0.7375,3865.242,0.0179,0.26249999999999996,940410,Mattress supports
2012,940410,22173.074,4.4887,0.7227,2771.51,0.0064,0.2773,940410,Mattress supports
2013,940410,21752.143,4.2318,0.7319,1415.328,0.0,0.2681,940410,Mattress supports
2014,940410,21670.919,4.3002,0.7362,3241.52,0.0052,0.26380000000000003,940410,Mattress supports
2015,940410,20423.16,3.6201,0.7974,1515.427,0.0,0.2026,940410,Mattress supports
2016,940410,20757.634,4.1381,0.7862,1291.797,0.0003,0.2138,940410,Mattress supports
